Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
DISCOVERY ISLAND,BRITISH COLUMBIA,1012475,27226,71031.0,WDR,48.42,-123.23,482528590,-1231332519,18.93,1997,2024,1997.0,2024.0,1997.0,2024.0,1998.0,2005.0
ESQUIMALT HARBOUR,BRITISH COLUMBIA,1012710,52,71798.0,WPF,48.43,-123.44,482555100,-1232621600,3.0,1957,2024,1994.0,2024.0,1957.0,2024.0,1957.0,2005.0
KELP REEFS,BRITISH COLUMBIA,1013998,10853,,WZO,48.55,-123.24,483251700,-1231413320,,1997,2024,1997.0,2024.0,2018.0,2024.0,,
MALAHAT,BRITISH COLUMBIA,1014820,65,71774.0,WKH,48.57,-123.53,483429700,-1233147700,365.8,1920,2024,1994.0,2024.0,1920.0,2024.0,1920.0,2005.0
NORTH COWICHAN,BRITISH COLUMBIA,1015630,46728,71927.0,VOO,48.82,-123.72,484927010,-1234308009,44.8,2007,2024,2007.0,2024.0,2007.0,2024.0,,
RACE ROCKS,BRITISH COLUMBIA,1016640,10943,71778.0,WQK,48.3,-123.53,481752743,-1233153186,7.4,1994,2024,1994.0,2024.0,1995.0,2024.0,,
SAANICHTON CFIA,BRITISH COLUMBIA,1016943,54641,73028.0,VSA,48.62,-123.42,483718000,-1232508000,61.0,2020,2024,2020.0,2024.0,2020.0,2024.0,,
SATURNA CAPMON CS,BRITISH COLUMBIA,1017099,6810,71914.0,VTS,48.78,-123.13,484630080,-1230741080,178.0,1991,2024,2006.0,2024.0,1991.0,2024.0,1991.0,2007.0
SATURNA ISLAND CS,BRITISH COLUMBIA,1017101,96,71473.0,WEZ,48.78,-123.04,484702067,-1230241082,24.4,1980,2024,1994.0,2024.0,1980.0,2024.0,1980.0,2007.0
SHERINGHAM POINT,BRITISH COLUMBIA,1017254,6811,71780.0,WSP,48.38,-123.92,482236100,-1235515700,6.9,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2007.0
TRIAL ISLAND,BRITISH COLUMBIA,1018238,27290,71034.0,WIN,48.4,-123.3,482342200,-1231817670,23.0,1997,1998,1997.0,1998.0,1998.0,1998.0,,
VICTORIA UNIVERSITY CS,BRITISH COLUMBIA,1018598,6812,71783.0,WYJ,48.46,-123.3,482725200,-1231816600,60.1,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2007.0
VICTORIA GONZALES HTS,BRITISH COLUMBIA,1018610,113,,WLM,48.41,-123.33,482447061,-1231930017,69.5,1898,2004,1953.0,2000.0,1898.0,2004.0,1898.0,2004.0
VICTORIA GONZALES CS,BRITISH COLUMBIA,1018611,114,71200.0,WLM,48.41,-123.32,482447896,-1231929192,61.04,1972,2024,1994.0,2024.0,1973.0,2024.0,1972.0,2007.0
VICTORIA HARBOUR A,BRITISH COLUMBIA,1018615,10944,,YWH,48.42,-123.39,482522000,-1232315000,,1994,2015,1994.0,2015.0,,,,
VICTORIA HARBOUR A,BRITISH COLUMBIA,1018619,53478,,YWH,48.42,-123.39,482522000,-1232315000,,2015,2024,2015.0,2024.0,,,,
VICTORIA INT'L A,BRITISH COLUMBIA,1018620,118,71799.0,YYJ,48.65,-123.43,483850010,-1232533000,19.51,1940,2013,1953.0,2013.0,1940.0,2013.0,1940.0,2013.0
VICTORIA INTL A,BRITISH COLUMBIA,1018621,51337,71799.0,YYJ,48.65,-123.43,483850000,-1232533000,19.5,2013,2024,2013.0,2024.0,2013.0,2024.0,,
VICTORIA HARBOUR A,BRITISH COLUMBIA,1018633,53479,,YWH,48.42,-123.39,482522000,-1232315000,,2015,2024,2015.0,2024.0,2018.0,2024.0,,
BALLENAS ISLAND,BRITISH COLUMBIA,1020590,138,71769.0,WGB,49.35,-124.16,492101000,-1240937000,14.51,1966,2024,1994.0,2024.0,1966.0,2024.0,1967.0,2007.0
NANAIMO HARBOUR,BRITISH COLUMBIA,1021052,26822,,WNA,49.17,-123.93,491000000,-1235600000,5.0,1994,1995,1994.0,1995.0,,,,
CAMPBELL RIVER A,BRITISH COLUMBIA,1021261,145,,YBL,49.95,-125.27,495707000,-1251623000,108.8,1965,2024,1979.0,2013.0,1965.0,2024.0,1965.0,2007.0
CAMPBELL RIVER A,BRITISH COLUMBIA,1021267,51317,,YBL,49.95,-125.27,495707000,-1251623000,108.8,2013,2024,2013.0,2024.0,,,,
CAMPBELL RIVER A,BRITISH COLUMBIA,1021270,52979,,YBL,49.95,-125.27,495707000,-1251623000,108.8,2014,2024,2014.0,2024.0,2018.0,2024.0,,
CAPE MUDGE,BRITISH COLUMBIA,1021330,152,,WAD,50.0,-125.2,495954500,-1251143700,4.6,1978,2024,1994.0,2001.0,1978.0,2024.0,1978.0,2007.0
CAPE MUDGE CS,BRITISH COLUMBIA,1021332,27382,,WYA,50.0,-125.2,500000000,-1251200000,4.0,1998,1998,1998.0,1998.0,,,,
CHATHAM POINT,BRITISH COLUMBIA,1021480,153,,WFM,50.33,-125.45,501959500,-1252644000,22.9,1958,2024,1994.0,2001.0,1958.0,2024.0,1958.0,2007.0
