Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Span
ESQUIMALT HARBOUR,BRITISH COLUMBIA,1012710,52,71798.0,WPF,48.43,-123.44,482555100,-1232621600,3.0,1957,2024,1994.0,2024.0,1957.0,2024.0,1957.0,2005.0,31.0
MALAHAT,BRITISH COLUMBIA,1014820,65,71774.0,WKH,48.57,-123.53,483429700,-1233147700,365.8,1920,2024,1994.0,2024.0,1920.0,2024.0,1920.0,2005.0,31.0
RACE ROCKS,BRITISH COLUMBIA,1016640,10943,71778.0,WQK,48.3,-123.53,481752743,-1233153186,7.4,1994,2024,1994.0,2024.0,1995.0,2024.0,,,31.0
SATURNA ISLAND CS,BRITISH COLUMBIA,1017101,96,71473.0,WEZ,48.78,-123.04,484702067,-1230241082,24.4,1980,2024,1994.0,2024.0,1980.0,2024.0,1980.0,2007.0,31.0
SHERINGHAM POINT,BRITISH COLUMBIA,1017254,6811,71780.0,WSP,48.38,-123.92,482236100,-1235515700,6.9,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2007.0,31.0
VICTORIA UNIVERSITY CS,BRITISH COLUMBIA,1018598,6812,71783.0,WYJ,48.46,-123.3,482725200,-1231816600,60.1,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2007.0,31.0
VICTORIA GONZALES HTS,BRITISH COLUMBIA,1018610,113,,WLM,48.41,-123.33,482447061,-1231930017,69.5,1898,2004,1953.0,2000.0,1898.0,2004.0,1898.0,2004.0,48.0
VICTORIA GONZALES CS,BRITISH COLUMBIA,1018611,114,71200.0,WLM,48.41,-123.32,482447896,-1231929192,61.04,1972,2024,1994.0,2024.0,1973.0,2024.0,1972.0,2007.0,31.0
VICTORIA INT'L A,BRITISH COLUMBIA,1018620,118,71799.0,YYJ,48.65,-123.43,483850010,-1232533000,19.51,1940,2013,1953.0,2013.0,1940.0,2013.0,1940.0,2013.0,61.0
BALLENAS ISLAND,BRITISH COLUMBIA,1020590,138,71769.0,WGB,49.35,-124.16,492101000,-1240937000,14.51,1966,2024,1994.0,2024.0,1966.0,2024.0,1967.0,2007.0,31.0
CAMPBELL RIVER A,BRITISH COLUMBIA,1021261,145,,YBL,49.95,-125.27,495707000,-1251623000,108.8,1965,2024,1979.0,2013.0,1965.0,2024.0,1965.0,2007.0,35.0
COMOX A,BRITISH COLUMBIA,1021830,155,71893.0,YQQ,49.72,-124.9,494300000,-1245400000,25.6,1944,2024,1953.0,2024.0,1944.0,2024.0,1944.0,2017.0,72.0
ENTRANCE ISLAND,BRITISH COLUMBIA,1022689,29411,71772.0,WEL,49.21,-123.81,491231195,-1234838001,7.6,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2006.0,31.0
NANAIMO A,BRITISH COLUMBIA,1025370,192,,YCD,49.05,-123.87,490316000,-1235212000,28.04,1947,2016,1954.0,2013.0,1947.0,2016.0,1947.0,2007.0,60.0
PORT HARDY A,BRITISH COLUMBIA,1026270,202,71109.0,YZT,50.68,-127.37,504049000,-1272158000,21.6,1944,2013,1953.0,2013.0,1944.0,2013.0,1944.0,2013.0,61.0
SISTERS ISLAND,BRITISH COLUMBIA,1027403,6813,71781.0,WGT,49.49,-124.43,492911800,-1242605800,20.0,1992,2024,1995.0,2024.0,1992.0,2024.0,1992.0,2004.0,30.0
CAPE SCOTT,BRITISH COLUMBIA,1031353,237,,WES,50.78,-128.43,504656040,-1282538020,71.6,1965,2024,1966.0,2001.0,1965.0,2024.0,1965.0,2007.0,36.0
ESTEVAN POINT CS,BRITISH COLUMBIA,1032731,8040,71894.0,WEB,49.38,-126.54,492259914,-1263235193,5.8,1993,2024,1994.0,2024.0,1993.0,2024.0,1997.0,2007.0,31.0
PORT ALBERNI (AUT),BRITISH COLUMBIA,1036B06,8045,71475.0,WQC,49.32,-124.93,491859700,-1245536600,76.2,1992,2024,1994.0,2024.0,1992.0,2024.0,2002.0,2007.0,31.0
SARTINE ISLAND (AUT),BRITISH COLUMBIA,1037090,8261,71478.0,WFG,50.82,-128.91,504916000,-1285429000,103.45,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2007.0,31.0
SOLANDER ISLAND (AUT),BRITISH COLUMBIA,1037553,8260,71479.0,WRU,50.11,-127.94,500641436,-1275623999,94.2,1994,2024,1994.0,2024.0,1994.0,2024.0,2007.0,2007.0,31.0
TOFINO A,BRITISH COLUMBIA,1038205,277,,YAZ,49.08,-125.77,490456000,-1254621020,24.45,1942,2023,1960.0,2014.0,1942.0,2023.0,1942.0,2007.0,55.0
MERRY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1045100,320,,WMR,49.47,-123.91,492803030,-1235445040,7.2,1954,2024,1954.0,2001.0,1957.0,2024.0,1957.0,2007.0,48.0
HOWE SOUND - PAM ROCKS,BRITISH COLUMBIA,10459NN,6817,71211.0,WAS,49.49,-123.3,492916009,-1231758030,7.14,1991,2024,1994.0,2024.0,1991.0,2024.0,1991.0,2007.0,31.0
POWELL RIVER A,BRITISH COLUMBIA,1046391,327,,YPW,49.83,-124.5,495003010,-1243001000,129.51,1954,2024,1982.0,2013.0,1954.0,2024.0,1954.0,2007.0,32.0
SQUAMISH AIRPORT,BRITISH COLUMBIA,10476F0,336,71207.0,WSK,49.78,-123.16,494659550,-1230940300,53.7,1982,2024,1982.0,2024.0,1982.0,2024.0,1982.0,2007.0,43.0
WHISTLER,BRITISH COLUMBIA,1048898,348,,WAE,50.13,-122.95,500744001,-1225717400,657.8,1976,2024,1983.0,2014.0,1976.0,2024.0,1976.0,2007.0,32.0
CAPE ST JAMES,BRITISH COLUMBIA,1051351,10901,71107.0,WZV,51.94,-131.02,515609000,-1310057000,87.8,1992,2024,1993.0,2024.0,1992.0,2024.0,1994.0,2007.0,32.0
KINDAKUN ROCKS (AUT),BRITISH COLUMBIA,1054222,8062,71472.0,WQS,53.32,-132.77,531856088,-1324619199,14.7,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2005.0,31.0
