Location,1/10,1/50,1/500
100 Mile House,0.30,0.39,0.55
Abbotsford,0.36,0.48,0.68
Agassiz,0.39,0.52,0.77
Alberni,0.26,0.35,0.50
Ashcroft,0.32,0.42,0.61
Bamfield,0.42,0.55,0.77
Beatton River,0.25,0.33,0.47
Bella Bella,0.44,0.55,0.73
Bella Coola,0.32,0.43,0.61
Burns Lake,0.32,0.43,0.64
Cache Creek,0.32,0.43,0.64
Campbell River,0.45,0.53,0.65
Carmi,0.30,0.40,0.58
Castlegar,0.27,0.36,0.52
Chetwynd,0.33,0.44,0.65
Chilliwack,0.39,0.52,0.74
Comox,0.45,0.53,0.65
Courtenay,0.45,0.53,0.65
Cranbrook,0.26,0.35,0.53
Crescent Valley,0.26,0.35,0.51
Crofton,0.35,0.44,0.58
Dawson Creek,0.33,0.44,0.65
Dease Lake,0.25,0.33,0.45
Dog Creek,0.30,0.39,0.55
Duncan,0.34,0.43,0.57
Elko,0.32,0.42,0.62
Fernie,0.32,0.42,0.65
Fort Nelson,0.25,0.33,0.47
Fort St. John,0.32,0.43,0.64
Glacier,0.25,0.34,0.52
Golden,0.27,0.37,0.58
Gold River,0.26,0.35,0.50
Grand Forks,0.32,0.42,0.62
Greenwood,0.32,0.42,0.62
Hope,0.52,0.69,1.03
Jordan River,0.48,0.61,0.79
Kamloops,0.33,0.44,0.65
Kaslo,0.24,0.33,0.51
Kelowna,0.32,0.42,0.62
Kimberley,0.26,0.35,0.53
Kitimat Plant,0.40,0.53,0.75
Kitimat Townsite,0.40,0.53,0.75
Ladysmith,0.35,0.44,0.58
Langford,0.35,0.44,0.58
Lillooet,0.36,0.48,0.72
Lytton,0.35,0.47,0.70
Mackenzie,0.28,0.35,0.50
Masset,0.55,0.67,0.86
McBride,0.30,0.39,0.58
McLeod Lake,0.28,0.35,0.50
Merritt,0.36,0.48,0.72
Mission City,0.35,0.47,0.67
Montrose,0.27,0.37,0.55
Nakusp,0.26,0.35,0.51
Nanaimo,0.42,0.53,0.70
Nelson,0.26,0.35,0.51
Ocean Falls,0.48,0.65,0.92
Osoyoos,0.32,0.42,0.62
Parksville,0.44,0.53,0.66
Penticton,0.32,0.42,0.62
Port Alberni,0.26,0.35,0.50
Port Alice,0.26,0.35,0.50
Port Hardy,0.40,0.53,0.75
Port McNeill,0.40,0.53,0.75
Port Renfrew,0.46,0.57,0.75
Powell River,0.43,0.53,0.68
Prince George,0.31,0.41,0.63
Prince Rupert,0.47,0.59,0.78
Princeton,0.30,0.40,0.59
Qualicum Beach,0.45,0.53,0.65
Queen Charlotte City,0.55,0.67,0.86
Quesnel,0.26,0.34,0.51
