Location,Province,Latitude,Longitude,"Sa(0.2,XD)","Sa(0.5,XD)","Sa(1.0,XD)","Sa(2.0,XD)","Sa(5.0,XD)","Sa(10.0,XD)",PGA(XD),PGV(XD)
100 Mile House,BC,51.6428,-121.2957,0.2560,0.2360,0.1800,0.1330,0.0668,0.0320,0.1050,0.2170
Abbotsford,BC,49.0521,-122.3295,0.9770,1.0100,0.7150,0.4360,0.1360,0.0502,0.4400,0.6510
Agassiz,BC,49.2394,-121.7651,0.7150,0.7230,0.5180,0.3250,0.1100,0.0433,0.3110,0.4870
Alberni,BC,49.2667,-124.8000,1.2500,1.5700,1.1600,0.8170,0.2270,0.0774,0.5380,1.1000
Ashcroft,BC,50.7212,-121.2835,0.3530,0.3330,0.2490,0.1730,0.0758,0.0344,0.1450,0.2720
Bamfield,BC,48.8331,-125.1411,1.7900,2.2300,1.6100,1.2100,0.3020,0.0986,0.7840,1.5700
Beatton River,BC,57.4333,-121.2167,0.2240,0.1870,0.1040,0.0567,0.0338,0.0208,0.1400,0.1170
Bella Bella,BC,52.1846,-128.1569,0.3830,0.4960,0.4350,0.3120,0.1340,0.0584,0.1620,0.4830
Bella Coola,BC,52.3723,-126.7557,0.2960,0.3500,0.3210,0.2440,0.1120,0.0503,0.1300,0.3890
Burns Lake,BC,54.2303,-125.7645,0.1740,0.1640,0.1560,0.1340,0.0732,0.0335,0.0758,0.2290
Cache Creek,BC,50.8132,-121.3242,0.3440,0.3240,0.2430,0.1700,0.0752,0.0343,0.1410,0.2670
Campbell River,BC,50.0231,-125.2442,0.8470,1.0700,0.8130,0.5610,0.1790,0.0637,0.3650,0.7940
Carmi,BC,49.4947,-119.1242,0.2640,0.2510,0.1930,0.1370,0.0617,0.0301,0.1100,0.2160
Castlegar,BC,49.3162,-117.6636,0.2370,0.2100,0.1510,0.1050,0.0499,0.0248,0.0961,0.1690
Chetwynd,BC,55.6959,-121.6382,0.3030,0.2680,0.1480,0.0809,0.0438,0.0235,0.1280,0.1480
Chilliwack,BC,49.1710,-121.9526,0.8050,0.8180,0.5830,0.3610,0.1190,0.0456,0.3550,0.5400
Comox,BC,49.6728,-124.9276,0.9620,1.2100,0.9140,0.6320,0.1920,0.0673,0.4190,0.8810
Courtenay,BC,49.6894,-124.9955,0.9620,1.2200,0.9200,0.6380,0.1940,0.0679,0.4180,0.8900
Cranbrook,BC,49.5107,-115.7673,0.2870,0.2690,0.1660,0.0951,0.0418,0.0211,0.1110,0.1500
Crescent Valley,BC,49.4467,-117.5574,0.2370,0.2100,0.1490,0.1020,0.0491,0.0245,0.0956,0.1660
Crofton,BC,48.8609,-123.6448,1.5500,1.7100,1.2100,0.7600,0.2060,0.0702,0.6940,1.1000
Dawson Creek,BC,55.7605,-120.2364,0.2550,0.2190,0.1210,0.0659,0.0380,0.0219,0.1350,0.1300
Dease Lake,BC,58.4333,-130.0167,0.1760,0.2400,0.1930,0.1360,0.0672,0.0388,0.0691,0.2050
Dog Creek,BC,51.8333,-122.2500,0.2680,0.2520,0.1960,0.1460,0.0723,0.0336,0.1100,0.2370
Duncan,BC,48.7787,-123.7080,1.6300,1.8100,1.2800,0.8190,0.2190,0.0739,0.7220,1.1700
Elko,BC,49.2965,-115.1103,0.3490,0.3310,0.2010,0.1070,0.0430,0.0211,0.1340,0.1650
Fernie,BC,49.5042,-115.0629,0.3830,0.3460,0.2030,0.1060,0.0427,0.0210,0.1510,0.1700
Fort Nelson,BC,58.8048,-122.7015,0.2350,0.2190,0.1340,0.0695,0.0294,0.0149,0.1390,0.1240
Fort St. John,BC,56.2528,-120.8472,0.2470,0.2120,0.1160,0.0640,0.0376,0.0218,0.1360,0.1280
Glacier,BC,50.5488,-115.1823,0.4500,0.3880,0.2130,0.1040,0.0422,0.0208,0.1830,0.1810
Golden,BC,51.2992,-116.9643,0.4290,0.3670,0.2030,0.1060,0.0469,0.0240,0.1730,0.1840
Gold River,BC,49.7808,-126.0473,1.2900,1.6600,1.2200,0.8600,0.2500,0.0850,0.5360,1.1700
Grand Forks,BC,49.0312,-118.4392,0.2480,0.2280,0.1740,0.1230,0.0565,0.0277,0.1030,0.1960
Greenwood,BC,49.0896,-118.6769,0.2550,0.2380,0.1830,0.1290,0.0585,0.0286,0.1060,0.2050
