Location,1/10,1/50
100 Mile House,0.27,0.35
Abbotsford,0.33,0.44
Agassiz,0.35,0.47
Alberni,0.24,0.32
Ashcroft,0.29,0.38
Bamfield,0.38,0.50
Beatton River,0.23,0.30
Bella Bella,0.40,0.50
Bella Coola,0.29,0.39
Burns Lake,0.29,0.39
Cache Creek,0.29,0.39
Campbell River,0.41,0.48
Carmi,0.29,0.38
Castlegar,0.26,0.34
Chetwynd,0.30,0.40
Chilliwack,0.35,0.47
Comox,0.41,0.48
Courtenay,0.41,0.48
Cranbrook,0.25,0.33
Crescent Valley,0.25,0.33
Crofton,0.32,0.40
Dawson Creek,0.30,0.40
Dease Lake,0.23,0.30
Dog Creek,0.27,0.35
Duncan,0.31,0.39
Elko,0.30,0.40
Fernie,0.30,0.40
Fort Nelson,0.23,0.30
Fort St. John,0.29,0.39
Glacier,0.24,0.32
Golden,0.26,0.35
Gold River,0.24,0.32
Grand Forks,0.30,0.40
Greenwood,0.30,0.40
Hope,0.47,0.63
Jordan River,0.44,0.55
Kamloops,0.30,0.40
Kaslo,0.23,0.31
Kelowna,0.30,0.40
Kimberley,0.25,0.33
Kitimat Plant,0.36,0.48
Kitimat Townsite,0.36,0.48
Ladysmith,0.32,0.40
Langford,0.32,0.40
Lillooet,0.33,0.44
Lytton,0.32,0.43
Mackenzie,0.25,0.32
Masset,0.50,0.61
McBride,0.27,0.35
McLeod Lake,0.25,0.32
Merritt,0.33,0.44
Mission City,0.32,0.43
Montrose,0.26,0.35
Nakusp,0.25,0.33
Nanaimo,0.38,0.48
Nelson,0.25,0.33
Ocean Falls,0.44,0.59
Osoyoos,0.30,0.40
Parksville,0.40,0.48
Penticton,0.30,0.40
Port Alberni,0.24,0.32
Port Alice,0.24,0.32
Port Hardy,0.36,0.48
Port McNeill,0.36,0.48
Port Renfrew,0.42,0.52
Powell River,0.39,0.48
Prince George,0.28,0.37
Prince Rupert,0.43,0.54
Princeton,0.27,0.36
Qualicum Beach,0.41,0.48
Queen Charlotte City,0.50,0.61
Quesnel,0.24,0.31
Revelstoke,0.24,0.32
Salmon Arm,0.29,0.39
Sandspit,0.59,0.72
Sechelt,0.38,0.48
Sidney,0.34,0.42
Smithers,0.30,0.40
Smith River,0.24,0.30
Sooke,0.38,0.48
Squamish,0.38,0.50
Stewart,0.27,0.36
Tahsis,0.26,0.34
Taylor,0.30,0.40
Terrace,0.27,0.36
Tofino,0.51,0.68
Trail,0.26,0.35
Ucluelet,0.51,0.68
Burnaby (Simon Fraser Univ.),0.35,0.47
Cloverdale,0.33,0.44
Haney,0.33,0.44
Ladner,0.37,0.46
Langley,0.33,0.44
New Westminster,0.33,0.44
North Vancouver,0.34,0.45
Richmond,0.36,0.45
Surrey (88 Ave & 156 St.),0.33,0.44
Vancouver (City Hall),0.34,0.45
Vancouver (Granville St. & 41st Ave),0.36,0.45
West Vancouver,0.36,0.48
Vernon,0.30,0.40
Victoria,0.46,0.57
Victoria (Gonzales Hts),0.46,0.57
Victoria(Mt Tolmie),0.46,0.57
Whistler,0.24,0.32
White Rock,0.33,0.44
Williams Lake,0.27,0.35
Youbou,0.26,0.32
Athabasca,0.27,0.36
Banff,0.26,0.32
Barrhead,0.35,0.44
Beaverlodge,0.27,0.36
Brooks,0.35,0.44
Calgary,0.38,0.48
Campsie,0.33,0.44
Camrose,0.31,0.39
Canmore,0.30,0.37
Cardston,0.58,0.72
Claresholm,0.46,0.58
Cold Lake,0.29,0.38
Coleman,0.50,0.63
Coronation,0.30,0.37
Cowley,0.81,1.01
Drumheller,0.35,0.44
Edmonton,0.36,0.45
Edson,0.37,0.46
Embarras Portage,0.28,0.37
Fairview,0.26,0.35
Fort MacLeod,0.54,0.68
Fort McMurray,0.28,0.35
Fort Saskatchewan,0.34,0.43
Fort Vermilion,0.23,0.30
Grande Prairie,0.32,0.43
Habay,0.23,0.30
Hardisty,0.29,0.36
High River,0.52,0.65
Hinton,0.37,0.46
Jasper,0.26,0.32
Keg River,0.23,0.30
Lac La Biche,0.27,0.36
Lacombe,0.32,0.40
Lethbridge,0.53,0.66
Manning,0.23,0.30
Medicine Hat,0.38,0.48
Peace River,0.24,0.32
Pincher Creek,0.77,0.96
Ranfurly,0.29,0.36
Red Deer,0.32,0.40
Rocky Mountain House,0.29,0.36
Slave Lake,0.28,0.37
Stettler,0.29,0.36
Stony Plain,0.36,0.45
Suffield,0.39,0.49
Taber,0.50,0.63
Turner Valley,0.52,0.65
Valleyview,0.34,0.42
Vegreville,0.29,0.36
Vermilion,0.29,0.36
Wagner,0.28,0.37
Wainwright,0.29,0.36
Wetaskiwin,0.31,0.39
Whitecourt,0.28,0.37
Wimborne,0.32,0.40
Assiniboia,0.39,0.49
Battrum,0.43,0.54
Biggar,0.36,0.45
Broadview,0.36,0.46
Dafoe,0.29,0.37
Dundurn,0.36,0.46
Estevan,0.41,0.52
Hudson Bay,0.29,0.37
Humboldt,0.31,0.39
Island Falls,0.26,0.35
Kamsack,0.32,0.40
Kindersley,0.36,0.46
Lloydminster,0.32,0.40
Maple Creek,0.36,0.45
Meadow Lake,0.30,0.40
Melfort,0.28,0.36
Melville,0.32,0.40
Moose Jaw,0.41,0.52
Nipawin,0.30,0.38
North Battleford,0.36,0.46
Prince Albert,0.30,0.38
Qu'Appelle,0.33,0.42
Regina,0.39,0.49
Rosetown,0.39,0.49
Saskatoon,0.36,0.46
Scott,0.36,0.45
Strasbourg,0.33,0.42
Swift Current,0.43,0.54
Uranium City,0.27,0.36
Weyburn,0.38,0.48
Yorkton,0.32,0.40
Beausejour,0.32,0.41
Boissevain,0.41,0.52
Brandon,0.39,0.49
Churchill,0.43,0.55
Dauphin,0.32,0.40
Flin Flon,0.28,0.35
Gimli,0.32,0.40
Island Lake,0.29,0.37
Lac du Bonnet,0.29,0.37
Lynn Lake,0.29,0.37
Morden,0.41,0.52
Neepawa,0.35,0.44
Pine Falls,0.31,0.39
Portage la Prairie,0.36,0.46
Rivers,0.36,0.46
Sandilands,0.32,0.40
Selkirk,0.32,0.41
Split Lake,0.31,0.39
Steinbach,0.32,0.40
Swan River,0.28,0.35
The Pas,0.29,0.37
